user_id,shelf,isbn,title,author,num_pages,publication_year,publisher,my_rating,average_rating,ratings_count,links
40732498,read,1622631196,El héroe discreto,Mario Vargas Llosa,383.0,2013-01-01,Alfaguara,3.0,3.75,3.75,www.goodreads.com/book/show/18230037-el-h-roe-discreto
40732498,read,8433968858,Hipotermia,Álvaro Enrigue,187.0,2005-01-01,Anagrama,3.0,3.82,3.82,www.goodreads.com/book/show/1813695.Hipotermia
40732498,read,0330508539,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,180.0,2009-01-01,Pan Books,2.0,4.22,4.22,www.goodreads.com/book/show/22675091-the-hitchhiker-s-guide-to-the-galaxy
40732498,read,,Hollywood,Charles Bukowski,320.0,1990-01-01,Anagrama,2.0,3.78,3.78,www.goodreads.com/book/show/901278.Hollywood
40732498,read,1324001569,How Charts Lie: Getting Smarter about Visual Information,Alberto Cairo,256.0,2019-01-01,W. W. Norton  Company,2.0,4.07,4.07,www.goodreads.com/book/show/43726576-how-charts-lie
40732498,read,1250066115,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael  Greger,576.0,2015-01-01,Flatiron Books,3.0,4.5,4.5,www.goodreads.com/book/show/25663961-how-not-to-die
40732498,read,,How Pleasure Works: The New Science of Why We Like What We Like,Paul Bloom,,,,3.0,3.73,3.73,www.goodreads.com/book/show/8184696-how-pleasure-works
40732498,read,0393310728,How to Lie with Statistics,Darrell Huff,142.0,1982-01-01,W. W. Norton & Company,3.0,3.87,3.87,www.goodreads.com/book/show/51291.How_to_Lie_with_Statistics
40732498,read,0762462019,How to Win Friends & Influence People,Dale Carnegie,136.0,2017-01-01,RP Minis,3.0,4.2,4.2,www.goodreads.com/book/show/31423310-how-to-win-friends-influence-people
40732498,read,1591477433,How to Write a Lot: A Practical Guide to Productive Academic Writing,Paul J. Silvia,149.0,2007-01-01,American Psychological Association (APA),3.0,4.04,4.04,www.goodreads.com/book/show/649144.How_to_Write_a_Lot
40732498,read,0439023483,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,374.0,2008-01-01,Scholastic Press,2.0,4.33,4.33,www.goodreads.com/book/show/2767052-the-hunger-games
40732498,read,0761147489,I Will Teach You to Be Rich,Ramit Sethi,266.0,2009-01-01,Workman Publishing Company,4.0,4.12,4.12,www.goodreads.com/book/show/4924862-i-will-teach-you-to-be-rich
40732498,read,1523505745,I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,352.0,2019-01-01,Workman Publishing Company,5.0,4.12,4.12,www.goodreads.com/book/show/40591670-i-will-teach-you-to-be-rich
40732498,read,0691139814,The Imperative of Integration,Elizabeth S.  Anderson,246.0,2010-01-01,Princeton University Press,4.0,4.15,4.15,www.goodreads.com/book/show/9521707-the-imperative-of-integration
40732498,read,,The Improving Chess Thinker: Revised and Expanded,Dan Heisman,,,,2.0,4.02,4.02,www.goodreads.com/book/show/23208154-the-improving-chess-thinker
40732498,read,0571141358,In Praise of the Stepmother,Mario Vargas Llosa,160.0,2004-01-01,Faber  Faber,2.0,3.43,3.43,www.goodreads.com/book/show/69864.In_Praise_of_the_Stepmother
40732498,read,087584863X,Information Rules: A Strategic Guide to the Network Economy,Carl Shapiro,368.0,1998-01-01,Harvard Business Review Press,3.0,4.07,4.07,www.goodreads.com/book/show/323068.Information_Rules
